index_code,con_code,trade_date,weight
000300.SH,600519.SH,20250901,3.8616
000300.SH,300750.SZ,20250901,3.3453
000300.SH,601318.SH,20250901,2.6228
000300.SH,600036.SH,20250901,2.1642
000300.SH,601899.SH,20250901,1.6725
000300.SH,300502.SZ,20250901,1.6057
000300.SH,000333.SZ,20250901,1.5166
000300.SH,300059.SZ,20250901,1.5108
000300.SH,601166.SH,20250901,1.5097
000300.SH,300308.SZ,20250901,1.5035
000300.SH,600900.SH,20250901,1.4161
000300.SH,600276.SH,20250901,1.2712
000300.SH,600030.SH,20250901,1.2671
000300.SH,688256.SH,20250901,1.2592
000300.SH,002594.SZ,20250901,1.2414
000300.SH,603259.SH,20250901,1.1623
000300.SH,601398.SH,20250901,1.0774
000300.SH,000858.SZ,20250901,1.0417
000300.SH,601211.SH,20250901,0.9709
000300.SH,002475.SZ,20250901,0.9566
000300.SH,688981.SH,20250901,0.9504
000300.SH,601288.SH,20250901,0.9374
000300.SH,601138.SH,20250901,0.9201
000300.SH,688041.SH,20250901,0.8092
000300.SH,601328.SH,20250901,0.7989
000300.SH,000651.SZ,20250901,0.7729
000300.SH,600887.SH,20250901,0.7448
000300.SH,002371.SZ,20250901,0.6809
000300.SH,600000.SH,20250901,0.6597
000300.SH,600919.SH,20250901,0.6555
000300.SH,000063.SZ,20250901,0.6442
000300.SH,601816.SH,20250901,0.6431
000300.SH,000725.SZ,20250901,0.6424
000300.SH,002714.SZ,20250901,0.6234
000300.SH,300760.SZ,20250901,0.6223
000300.SH,300274.SZ,20250901,0.5996
000300.SH,300124.SZ,20250901,0.5964
000300.SH,600111.SH,20250901,0.596
000300.SH,688008.SH,20250901,0.5923
000300.SH,601601.SH,20250901,0.5645
000300.SH,603019.SH,20250901,0.5615
000300.SH,600309.SH,20250901,0.5416
000300.SH,600031.SH,20250901,0.5228
000300.SH,601088.SH,20250901,0.5206
000300.SH,603501.SH,20250901,0.5152
000300.SH,002230.SZ,20250901,0.5116
000300.SH,601728.SH,20250901,0.4902
000300.SH,601127.SH,20250901,0.4894
000300.SH,603986.SH,20250901,0.4837
000300.SH,000001.SZ,20250901,0.4805
000300.SH,002415.SZ,20250901,0.4792
000300.SH,601668.SH,20250901,0.4784
000300.SH,600016.SH,20250901,0.4663
000300.SH,601688.SH,20250901,0.4549
000300.SH,600660.SH,20250901,0.4392
000300.SH,300394.SZ,20250901,0.4316
000300.SH,601012.SH,20250901,0.4313
000300.SH,002352.SZ,20250901,0.4294
000300.SH,000568.SZ,20250901,0.4164
000300.SH,601857.SH,20250901,0.4112
000300.SH,600809.SH,20250901,0.4077
000300.SH,688012.SH,20250901,0.4067
000300.SH,600690.SH,20250901,0.4056
000300.SH,600941.SH,20250901,0.4023
000300.SH,300498.SZ,20250901,0.3993
000300.SH,601919.SH,20250901,0.3989
000300.SH,000100.SZ,20250901,0.3977
000300.SH,603993.SH,20250901,0.396
000300.SH,601229.SH,20250901,0.3927
000300.SH,002142.SZ,20250901,0.3922
000300.SH,002463.SZ,20250901,0.3914
000300.SH,601766.SH,20250901,0.3845
000300.SH,601169.SH,20250901,0.3742
000300.SH,600050.SH,20250901,0.3711
000300.SH,600104.SH,20250901,0.3672
000300.SH,002027.SZ,20250901,0.3663
000300.SH,002241.SZ,20250901,0.3632
000300.SH,600150.SH,20250901,0.3625
000300.SH,600406.SH,20250901,0.3613
000300.SH,300033.SZ,20250901,0.3559
000300.SH,600028.SH,20250901,0.3463
000300.SH,000425.SZ,20250901,0.3389
000300.SH,601009.SH,20250901,0.3365
000300.SH,000338.SZ,20250901,0.3342
000300.SH,600926.SH,20250901,0.3316
000300.SH,601988.SH,20250901,0.3291
000300.SH,601225.SH,20250901,0.3284
000300.SH,688111.SH,20250901,0.3204
000300.SH,601939.SH,20250901,0.319
000300.SH,688271.SH,20250901,0.3133
000300.SH,601006.SH,20250901,0.3106
000300.SH,600089.SH,20250901,0.3098
000300.SH,000792.SZ,20250901,0.3095
000300.SH,601985.SH,20250901,0.3019
000300.SH,002050.SZ,20250901,0.2974
000300.SH,000977.SZ,20250901,0.2959
000300.SH,600760.SH,20250901,0.2957
000300.SH,600999.SH,20250901,0.2907
000300.SH,601818.SH,20250901,0.2868
000300.SH,603288.SH,20250901,0.2864
000300.SH,300014.SZ,20250901,0.2856
000300.SH,603799.SH,20250901,0.2847
000300.SH,601628.SH,20250901,0.2843
000300.SH,601888.SH,20250901,0.2818
000300.SH,601658.SH,20250901,0.2797
000300.SH,600183.SH,20250901,0.2776
000300.SH,605499.SH,20250901,0.2728
000300.SH,600547.SH,20250901,0.2705
000300.SH,300433.SZ,20250901,0.2685
000300.SH,000776.SZ,20250901,0.2664
000300.SH,600436.SH,20250901,0.2605
000300.SH,600010.SH,20250901,0.2594
000300.SH,601600.SH,20250901,0.2592
000300.SH,600938.SH,20250901,0.2584
000300.SH,300015.SZ,20250901,0.2583
000300.SH,000625.SZ,20250901,0.2576
000300.SH,600415.SH,20250901,0.2568
000300.SH,600438.SH,20250901,0.254
000300.SH,600905.SH,20250901,0.2527
000300.SH,600019.SH,20250901,0.2515
000300.SH,002028.SZ,20250901,0.2499
000300.SH,600958.SH,20250901,0.2459
000300.SH,600584.SH,20250901,0.2454
000300.SH,300408.SZ,20250901,0.2438
000300.SH,600570.SH,20250901,0.2437
000300.SH,600585.SH,20250901,0.243
000300.SH,000938.SZ,20250901,0.2426
000300.SH,601989.SH,20250901,0.2422
000300.SH,601390.SH,20250901,0.2407
000300.SH,600048.SH,20250901,0.236
000300.SH,002049.SZ,20250901,0.2327
000300.SH,601336.SH,20250901,0.2284
000300.SH,002179.SZ,20250901,0.2259
000300.SH,600893.SH,20250901,0.2233
000300.SH,601689.SH,20250901,0.2226
000300.SH,002916.SZ,20250901,0.222
000300.SH,000538.SZ,20250901,0.2203
000300.SH,600160.SH,20250901,0.2194
000300.SH,600489.SH,20250901,0.2128
000300.SH,601825.SH,20250901,0.2109
000300.SH,002311.SZ,20250901,0.2106
000300.SH,601669.SH,20250901,0.2099
000300.SH,601100.SH,20250901,0.2039
000300.SH,000166.SZ,20250901,0.2035
000300.SH,601916.SH,20250901,0.1972
000300.SH,600015.SH,20250901,0.1967
000300.SH,000002.SZ,20250901,0.1931
000300.SH,601838.SH,20250901,0.1928
000300.SH,601377.SH,20250901,0.1928
000300.SH,002460.SZ,20250901,0.1913
000300.SH,601995.SH,20250901,0.1897
000300.SH,002466.SZ,20250901,0.1889
000300.SH,002422.SZ,20250901,0.1869
000300.SH,002304.SZ,20250901,0.1853
000300.SH,002600.SZ,20250901,0.183
000300.SH,688169.SH,20250901,0.1828
000300.SH,600795.SH,20250901,0.1824
000300.SH,002074.SZ,20250901,0.1809
000300.SH,000408.SZ,20250901,0.1792
000300.SH,002736.SZ,20250901,0.1748
000300.SH,600426.SH,20250901,0.1733
000300.SH,601998.SH,20250901,0.1717
000300.SH,688036.SH,20250901,0.171
000300.SH,002938.SZ,20250901,0.1694
000300.SH,000807.SZ,20250901,0.1682
000300.SH,000768.SZ,20250901,0.1677
000300.SH,600009.SH,20250901,0.1677
000300.SH,601360.SH,20250901,0.1673
000300.SH,000963.SZ,20250901,0.166
000300.SH,601881.SH,20250901,0.1651
000300.SH,601077.SH,20250901,0.1645
000300.SH,600176.SH,20250901,0.1631
000300.SH,600196.SH,20250901,0.1624
000300.SH,601788.SH,20250901,0.1616
000300.SH,600989.SH,20250901,0.161
